1,2012,3,1,35780
1,2012,6,2,30597
1,2012,9,3,33849
1,2012,12,4,30919
1,2012,3,2,29907
1,2012,6,3,28424
1,2012,9,4,33383
1,2012,12,5,30671
1,2012,3,3,28786
1,2012,6,4,29927
1,2012,9,5,34063
1,2012,12,6,32587
1,2012,3,4,37227
1,2012,6,5,36593
1,2012,9,6,35952
1,2012,12,7,36257
1,2012,3,5,36040
1,2012,6,6,32864
1,2012,9,7,41826
1,2012,3,6,31046
1,2012,6,7,32825
1,2012,3,7,31367
1,2011,10,1,41844
1,2011,7,1,33782
1,2011,10,2,29021
1,2011,4,1,32436
1,2011,7,2,28845
1,2011,10,3,27223
1,2011,1,1,35160
1,2011,4,2,27664
1,2011,7,3,26478
1,2011,10,4,28894
1,2011,1,2,24100
1,2011,4,3,27213
1,2011,7,4,26838
1,2011,10,5,29892
1,2011,1,3,18545
1,2011,4,4,27281
1,2011,7,5,33843
1,2011,10,6,29728
1,2011,1,4,21377
1,2011,4,5,30485
1,2011,7,6,29436
1,2011,10,7,38291
1,2011,1,5,23131
1,2011,4,6,23926
1,2011,7,7,35217
1,2011,1,6,22004
1,2011,4,7,25579
1,2011,1,7,27238
1,2010,11,1,35417
1,2013,12,1,43825
1,2010,8,1,31147
1,2010,11,2,29078
1,2013,9,1,49875
1,2013,12,2,33591
1,2010,5,1,38728
1,2010,8,2,27141
1,2010,11,3,22596
1,2013,6,1,36879
1,2013,9,2,34194
1,2013,12,3,26962
1,2010,2,1,19011
1,2010,5,2,25219
1,2010,8,3,21542
1,2010,11,4,21277
1,2013,3,1,36375
1,2013,6,2,31680
1,2013,9,3,31759
1,2013,12,4,29882
1,2010,2,2,16005
1,2010,5,3,24547
1,2010,8,4,22327
1,2010,11,5,23232
1,2013,3,2,31350
1,2013,6,3,30598
1,2013,9,4,31667
1,2013,12,5,30716
1,2010,2,3,13118
1,2010,5,4,25547
1,2010,8,5,23411
1,2010,11,6,21204
1,2013,3,3,30192
1,2013,6,4,31118
1,2013,9,5,34113
1,2013,12,6,26456
1,2010,2,4,16897
1,2010,5,5,25995
1,2010,8,6,20968
1,2010,11,7,27782
1,2013,3,4,30738
1,2013,6,5,31542
1,2013,9,6,29506
1,2013,12,7,41671
1,2010,2,5,16993
1,2010,5,6,28005
1,2010,8,7,31040
1,2013,3,5,38809
1,2013,6,6,34891
1,2013,9,7,44531
1,2010,2,6,15492
1,2010,5,7,32481
1,2013,3,6,32980
1,2013,6,7,42216
1,2010,2,7,17150
1,2013,3,7,39905
1,2012,10,1,38990
1,2012,7,1,44699
1,2012,10,2,33425
1,2012,4,1,45548
1,2012,7,2,35841
1,2012,10,3,37383
1,2012,1,1,39207
1,2012,4,2,31177
1,2012,7,3,27257
1,2012,10,4,33998
1,2012,1,2,33941
1,2012,4,3,29752
1,2012,7,4,28349
1,2012,10,5,34123
1,2012,1,3,25620
1,2012,4,4,29985
1,2012,7,5,28927
1,2012,10,6,28081
1,2012,1,4,25147
1,2012,4,5,28478
1,2012,7,6,25353
1,2012,10,7,32395
1,2012,1,5,25171
1,2012,4,6,23534
1,2012,7,7,38561
1,2012,1,6,22161
1,2012,4,7,37705
1,2012,1,7,29799
1,2011,11,1,33640
1,2011,8,1,42061
1,2011,11,2,35682
1,2011,5,1,42633
1,2011,8,2,38712
1,2011,11,3,33197
1,2011,2,1,27889
1,2011,5,2,37237
1,2011,8,3,36217
1,2011,11,4,26158
1,2011,2,2,20513
1,2011,5,3,27214
1,2011,8,4,28059
1,2011,11,5,26389
1,2011,2,3,19432
1,2011,5,4,28285
1,2011,8,5,29088
1,2011,11,6,24437
1,2011,2,4,22303
1,2011,5,5,28465
1,2011,8,6,21469
1,2011,11,7,30892
1,2011,2,5,23363
1,2011,5,6,24808
1,2011,8,7,14009
1,2011,2,6,19315
